student_id,dropout_probability,dropout_risk,age,gender,is_first_gen_learner,response_time_decay_hrs,forum_passive_active_ratio,login_fragmentation_score,resource_depth_shift,collaborative_tool_drift_days,question_quality_level,peer_centrality_score,optional_activity_rate,submission_rush_hrs,silence_burst_count,help_seeking_latency_days,feedback_response_rate,device_count,monday_absence_cluster,tired_keyword_freq,whatsapp_study_silence,intervention_received,intervention_week,intervention_type,intervention_effectiveness,stress_type
STU0001,0.5296170613782906,0,12,F,1,41.04051132411151,80.0,0.6282795924009824,0.6118888042334634,19.39001236980548,1.0,0.005636956142046291,0.0,20.39338684513517,3.9470138516067714,9.704629953751624,0.00673925609671223,2,0,4,0,0,0,none,0.0,none
STU0002,0.02,0,13,M,0,3.9918225532491203,1.3915772113465552,0.0,0.2647717122673481,4.117242300826396,3.9030161419140987,0.5807025652677713,0.9907215118843857,0.3691699611439697,0.0,5.7924004207716875,0.9800840002323834,1,0,1,0,0,0,none,0.0,none
STU0003,0.02,0,15,F,1,0.0,23.032882973182257,0.20175428849430277,0.2745549180207847,6.405051990593094,4.598247646387447,0.18924732075940065,0.7634782753774386,23.84192188003347,0.2382353505134553,9.094527312180931,0.6949529710593172,2,0,1,0,1,6,voice_message,0.6264759290697269,none
STU0004,0.02,0,17,F,1,9.083354510878703,2.2380782795666994,0.004964510103182778,0.2627389933503634,0.6460216575321549,3.8823681932743392,0.5707950165895381,0.8705134369175279,27.349658821515938,0.06664565521460436,1.8977237342625044,0.9967750335688575,1,1,4,0,0,0,none,0.0,none
STU0005,0.48234333741764074,0,13,M,1,80.53835436243338,63.44802099642337,0.9895264375766682,0.9306854007801958,7.967708401339902,2.130669116346984,0.0005122502779502874,0.003538321592876646,0.5558365566402946,1.6261781417747234,20.232255344707617,0.25070876237289635,2,0,4,0,0,0,none,0.0,none
STU0006,0.5417423564469926,1,16,F,1,81.56834442817292,52.21767069937323,0.8439114244326006,0.8163644984710056,11.111160891581871,2.683647561906319,0.34000704713326113,0.32843015752789595,0.21039874515515983,5.275746055617072,29.140848797546344,0.060280249802895286,2,0,3,0,1,4,motivational_story,0.6586863489721837,home_financial_stress
STU0007,0.5470543867639039,0,17,F,0,71.74502299168604,75.61018251288982,1.0,0.354918724629149,9.463176046642541,2.0373719959814447,0.20030225051473893,0.07943876435962302,14.934357509369312,1.030547196326716,19.784345277140822,0.3791631117615099,1,0,0,0,1,8,parent_call,0.3303169458511852,none
STU0008,0.02,0,18,F,0,0.7864163310457671,24.347813294479298,0.5401797416217394,0.05792157358898398,4.807193665241401,5.788159822742074,0.764103703376458,0.9695857175424398,26.651800362307554,0.015494804648119065,0.0,0.7369676304338484,2,0,1,0,1,3,motivational_story,0.6724638731215176,none
STU0009,0.6304936069560881,1,18,M,1,22.039907673002602,80.0,0.86621185545939,1.0,30.0,2.088231818629297,0.41193310072125655,0.00273603632378637,2.363622465245128,2.903046700559536,15.108510216395354,0.40770588111684397,1,0,1,0,0,0,none,0.0,home_financial_stress
STU0010,0.5434108621049004,1,13,M,1,33.32601244262844,79.92482427479868,0.42549365170022413,0.6229238481345392,7.26382514164326,3.953470184491503,0.1004174561244115,0.6863807645487682,13.44121455001194,4.499442229195295,12.222757216263593,0.40038974985267317,1,1,3,0,1,4,parent_call,0.5035856942488638,academic_struggle
STU0011,0.02,0,18,F,1,0.6276054183046683,21.00418140594025,0.039468251334736484,0.47422547928326647,6.083288971833579,3.7564698840042916,0.8490192305115394,0.31827480424654314,13.710719543977998,2.6908794044532325,0.24716615890835977,0.8815027737977973,2,0,1,0,1,6,counsellor,0.4343041790023715,none
STU0012,0.6660171183226294,1,16,M,0,48.34113997251464,67.49226328667527,0.6510594682032148,0.43166468818008413,24.215256046092595,1.7599275058604997,0.5827852599850204,0.34016392758061315,18.84308140837132,4.732837681293381,21.73208251520188,0.09965246808587681,1,1,4,0,0,0,none,0.0,academic_struggle
STU0013,0.02,0,14,M,0,7.504115723617159,3.136935323852483,0.5621926398682388,0.3323564993785606,0.5416078869694065,4.5430663308980455,0.5812144435087752,0.9351414638085526,46.64993382134084,0.45434234218863256,6.338342459685938,0.6607699607264759,1,0,1,0,0,0,none,0.0,none
STU0014,0.02,0,13,F,0,14.428693099781125,23.149455597945575,0.0006187476880923536,0.002303652597515951,11.23837663467071,2.1101263243845367,0.7263581889786483,0.3984720068395908,24.09722307397126,0.00783435527605569,0.0,0.8723002871658888,2,1,2,0,0,0,none,0.0,none
STU0015,0.6196613109170729,1,17,M,0,42.25291593101783,49.50365945950187,0.8071158391764729,0.9953836733713367,28.074708931721705,3.9634886352584364,0.37055676997580317,0.0,0.0,6.431195826737164,15.498698478946896,0.0,1,0,1,0,0,0,none,0.0,academic_struggle
STU0016,0.3385375559508597,0,17,M,0,12.782199397016457,52.288430674302944,0.5845775391839412,0.7518732282233769,8.450241921681863,1.1239959179703467,0.1554010651527022,0.003837608111356385,26.611122628777817,1.9443375373076663,12.966569236819995,0.32595436654151183,1,0,2,0,0,0,none,0.0,none
STU0017,0.02,0,17,M,0,0.8746725380083372,4.267705324933011,0.29175338909074844,0.4679894668368022,0.0,4.763902654971148,0.4335229361316786,0.5214042050360538,39.86739599369619,2.7242014959640986,0.2530890863830809,0.9412586930370621,1,0,2,0,0,0,none,0.0,none
STU0018,0.27658850319802464,0,16,F,0,9.280186749935929,29.071219162594907,0.5770943842179688,0.7568197827562951,20.692295868869653,1.604627314718086,0.07926131827593731,0.25224172977128595,4.48567116925306,0.04424481522359336,8.83839831028075,0.047916530788311,1,0,1,0,0,0,none,0.0,none
STU0019,0.02,0,18,F,0,1.0794847296365617,17.02800988815192,0.3798188746989084,0.0,0.0,5.79398212852224,0.889733019633003,0.9265133680949533,5.750876621292289,0.836688554850963,9.751412331869453,0.8457916528241993,2,0,1,0,1,6,voice_message,0.5811273336777443,none
STU0020,0.02,0,12,F,1,0.6133706763928679,5.002525867868864,0.16301182478096382,0.0,9.912983423319146,2.2890687947469437,0.7119576361451949,0.9480237898260103,8.317231948943801,0.848548551757125,0.0,0.96377784962229,1,0,1,0,0,0,none,0.0,none
STU0021,0.7540229229791549,1,18,F,1,48.26250143606632,27.630840080141848,0.5135991197876719,0.6383595568372763,22.773012118930186,1.1727053580190843,0.0,0.26793911489134553,1.9262397466949523,8.257702761504317,27.94311724518731,0.0,2,0,1,0,0,0,none,0.0,home_financial_stress
